news,pred_label,true_label,confidence
Gearing was 43 % compared to 67 % in 2004.,negative,neutral,"['0.02', '0.93', '0.05']"
"The third applicant, Fortum, was dropped.",negative,neutral,"['0.05', '0.94', '0.00']"
"Neste Oil Corp. has signed long - term procurement contracts with Honkajoki Oy and Findest Protein Oy, both owned by Finnish food manufacturers, for the supply of animal fat for biodiesel production at Neste ' s 200, 000 b - cd Porvoo, Finland, refinery.",neutral,positive,"['0.53', '0.00', '0.47']"
"INTERNET BUSINESS NEWS - - _ 1995 - 2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service, Barclays Bank has announced that it is to recommend F - Secure Internet Security to its customers.",positive,neutral,"['0.37', '0.00', '0.63']"
"GeoSentric Oyj s GeoSolutions Business Unit GyPSii, the mobile digital lifestyle application and geo - mobility social networking platform, has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile.",neutral,positive,"['1.00', '0.00', '0.00']"
"` ` Of course, we are in talks with all those coming up with new projects that involve material handling, ' ' Konecranes President and CEO Pekka Lundmark said, when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar.",positive,neutral,"['0.00', '0.00', '1.00']"
"The EU Commission said earlier it had fined ThyssenKrupp, United Technologies Corp ' s Otis, Schindler AG and Kone Oyj a total of 992. 3 mln eur for alleged cartel activity in the lift market going back twelve years.",neutral,negative,"['0.95', '0.04', '0.00']"
"Myllykoski, with one paper plant in Finland, one in the US and three in Germany, had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m, Reuters said.",neutral,negative,"['1.00', '0.00', '0.00']"
"According to Kesko, the company agreed with the city administration about lease of the building in 2006, its resettlement and construction of a five - star hotel Hilton for 120 rooms.",neutral,positive,"['0.87', '0.00', '0.12']"
"The fixed - term contract of Mr. Jarmo Ukonaho, the current General Manager of Incap ' s Indian operations, will finish by the end of the year.",positive,neutral,"['0.42', '0.00', '0.58']"
"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation, environmental protection and energy efficient technologies.",neutral,positive,"['0.93', '0.00', '0.07']"
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis, in the company of many of the largest software vendors in the world.",neutral,positive,"['0.89', '0.00', '0.11']"
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M - real Corporation ' s Graphic Papers Business unit.,neutral,positive,"['0.93', '0.00', '0.07']"
"Finnish IT consultancy Satama Interactive Oyj said on November 13, 2006 that Jarmo Lonnfors took up the position of CEO.",positive,neutral,"['0.12', '0.00', '0.88']"
"Our solutions are fully Arabized, and our message is that we want to become the IT partner of choice for businesses in the Near - East region.",positive,neutral,"['0.43', '0.00', '0.57']"
"Finnish construction company YIT Corporation is planning to build about 200 high - quality holiday homes near the Tahko ski and spa resort, in Finland.",neutral,positive,"['1.00', '0.00', '0.00']"
Incap estimates it will generate a revenue of 10 mln euro ( $ 13. 2 mln ) from its Indian operations for 2007.,positive,neutral,"['0.00', '0.00', '1.00']"
` ` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop - in - shops.,positive,neutral,"['0.00', '0.00', '1.00']"
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces.,neutral,negative,"['1.00', '0.00', '0.00']"
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant.,neutral,negative,"['0.99', '0.00', '0.01']"
Certain shareholders have irrevocably agreed to vote in favor of the bond issue.,neutral,positive,"['0.98', '0.00', '0.02']"
We are also pleased to welcome the new employees to Tieto. ',positive,neutral,"['0.00', '0.00', '1.00']"
Elisa will expand the use of this technology provided the pilot proves successful.,positive,neutral,"['0.29', '0.00', '0.71']"
These savings will have full impact as of the beginning of 2007.,positive,neutral,"['0.07', '0.03', '0.90']"
Temporary layoffs in these units have already started.,negative,neutral,"['0.36', '0.63', '0.00']"
"However, he expects banks to provide alternative financing.",neutral,positive,"['0.84', '0.01', '0.15']"
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14, 2008 AT 2 : 45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year.",neutral,negative,"['0.86', '0.00', '0.14']"
"Finnish Vaahto Group that provides paper - making technology and process machinery is starting negotiations concerning the temporary lay - offs of all 140 employees at the company ' s plants in Hollola and Tampere, in Finland.",neutral,negative,"['0.46', '0.44', '0.10']"
"Featuring the S60 user interface, this 135 - gram model also comes with a 2. 4 - inch quarter VGA display and 100 megabytes of internal memory, expandable through the Micro Secure Digital slot.",positive,neutral,"['0.13', '0.00', '0.86']"
"In Finland, insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety.",neutral,positive,"['0.93', '0.00', '0.07']"
"Salcomp ' s charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu, in the eastern part of India.",positive,neutral,"['0.24', '0.04', '0.72']"
The employment contracts of 14 of the employees will end in March 2009 as a result of the company ' s previous employer - employee talks.,neutral,negative,"['0.95', '0.05', '0.00']"
"Iggesunds Bruk in Sweden is one of the most advanced, fully integrated pulp and paperboard mills in the world.",neutral,positive,"['1.00', '0.00', '0.00']"
"According to Schmardin, Nordea will most likely try to win customers over from other pension fund providers.",neutral,positive,"['1.00', '0.00', '0.00']"
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers.,neutral,positive,"['0.72', '0.00', '0.28']"
"This will be done domestically and in neighboring markets, both organically and through acquisitions.",positive,neutral,"['0.00', '0.00', '1.00']"
The Finnish company Stockmann has signed the contract with the company Technopolis.,positive,neutral,"['0.19', '0.00', '0.80']"
` ` I warmly welcome Michael Frei to Outotec.,neutral,positive,"['1.00', '0.00', '0.00']"
"More than 14, 000 customers were left powerless.",neutral,negative,"['1.00', '0.00', '0.00']"
` ` The CHF is a great product.,neutral,positive,"['1.00', '0.00', '0.00']"
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1. 08 billion $ 1. 67 billion offer from buyout shop Nordic Capital, giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA.",neutral,positive,"['0.90', '0.00', '0.10']"
"Antti Orkola, president of Kemira GrowHow ' s Industrial Solutions unit, told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time '. '",neutral,negative,"['1.00', '0.00', '0.00']"
"Under the terms of the agreement, Bunge will acquire Raisio ' s Keiju, Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland.",positive,neutral,"['0.44', '0.00', '0.56']"
Incap and Lankapaja aim to enter into actual agreement to transfer the sheet - metal production to the buyer in February in order to complete the transfer on 1 March 2011.,neutral,positive,"['0.94', '0.00', '0.06']"
The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011.,neutral,positive,"['0.99', '0.00', '0.01']"
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as ` ` cry babies ' '.,neutral,negative,"['1.00', '0.00', '0.00']"
"The acquisition was financed with $ 2. 56 billion of debt arranged by Goldman, Sachs & Co..",positive,neutral,"['0.33', '0.00', '0.66']"
"The poorest index figure was given to Finnish power company Fortum, 4. 5.",neutral,negative,"['0.98', '0.00', '0.02']"
The StoneGate UTM solution offers protection against inbound and outbound attacks.,neutral,positive,"['1.00', '0.00', '0.00']"
The objective of the planned measures is to achieve significant savings in the next few years.,neutral,positive,"['0.63', '0.00', '0.37']"
One of Uponor ' s promising future products is a hydronic cooling system.,neutral,positive,"['1.00', '0.00', '0.00']"
This combined with foreign investments creates interesting opportunities for Solteq.,neutral,positive,"['1.00', '0.00', '0.00']"
Lean System supports change management and component purchasing extremely well.,neutral,positive,"['0.66', '0.00', '0.34']"
"Budapest, August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders, communications director for Elcoteq ' s local unit, Zoltan Krippl told MTI on Monday.",neutral,negative,"['0.72', '0.00', '0.27']"
3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine - year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market.,neutral,positive,"['0.92', '0.01', '0.07']"
"` ` If you need malware removal tools, type the URL of your vendor of choice directly into the browser bar and use links on their website, ' ' wrote Trend Micro ' s Rik Ferguson on Monday.",positive,neutral,"['0.14', '0.02', '0.84']"
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid - May, it said.",neutral,negative,"['0.96', '0.02', '0.02']"
"Cencorp ' s net sales in the first quarter is estimated to be EUR0. 9 - 1. 2 m, as compared to EUR4. 5 m in the first quarter 2008.",neutral,negative,"['0.85', '0.08', '0.07']"
Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90. 3 m.,positive,neutral,"['0.21', '0.00', '0.78']"
"` ` QPR 8 integrated management system is the fastest, easiest and most efficient way for organizations all around the world to take control of their human - centric business processes.",neutral,positive,"['0.70', '0.00', '0.30']"
"The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions, which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection.",neutral,positive,"['1.00', '0.00', '0.00']"
"TeliaSonera s subsidiary, the mobile operator EMT in Estonia, has created a world s first mobile identification service which makes it possible to vote via a mobile phone.",positive,neutral,"['0.28', '0.00', '0.72']"
"Cerberus Capital Management LP - backed printing paper maker NewPage Corp. has posted mixed second - quarter results, casting a cloud over its planned initial public offering.",neutral,negative,"['1.00', '0.00', '0.00']"
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker ' s comfort zone.,positive,negative,"['0.00', '0.00', '1.00']"
"Remote Phone Management demonstrates SysOpen Digia ' s unique end - to - end offering for operators, handset manufacturers and enterprise customers.",positive,neutral,"['0.00', '0.00', '1.00']"
"According to Saarioinen ' s Managing Director Ilkka M + Ækel + Æ, the food industry sector has a significant excess of production machinery.",positive,neutral,"['0.00', '0.00', '1.00']"
It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG - fuelled vessel.,neutral,positive,"['0.97', '0.01', '0.02']"
"Niina Nenonen, Marimekko ' s current director for clothing, bags and accessories lines, will take up this role.",positive,neutral,"['0.15', '0.00', '0.85']"
"Under the agreement, TietoEnator will provide Blyk with extended application and business process management services and an IT infrastructure.",neutral,positive,"['1.00', '0.00', '0.00']"
"According to CEO Matti Karppinen, Frozen Foods posted a good result in 2010, as it did in 2009.",neutral,positive,"['0.70', '0.00', '0.30']"
"It currently employs about 750 people and expects headcount to reach 1, 000 by end of 2007.",neutral,positive,"['0.78', '0.00', '0.22']"
"We bring a new, committed leadership and business and strategic know - how to the company that we buy.",positive,neutral,"['0.00', '0.00', '1.00']"
Olvi has posted a strong set of figures for the first six months of this year.,neutral,positive,"['1.00', '0.00', '0.00']"
Net sales in 2007 are expected to be 10 % up on 2006.,neutral,positive,"['0.93', '0.01', '0.06']"
Incap Furniture is presently negotiating staff cuts.,neutral,negative,"['1.00', '0.00', '0.00']"
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period.,positive,negative,"['0.00', '0.38', '0.62']"
Both the net sales and operating profit were record high in the company ' s history.,neutral,positive,"['0.61', '0.00', '0.39']"
